fuel_type,body,wheel_base,length,width,heights,curb_weight,engine_type,cylinders,engine_size,bore,stroke,comprassion,horse_power,peak_rpm,city_mpg,highway_mpg,price
gas,convertible,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,2.68,9,111,5000,21,27,13495
gas,convertible,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,2.68,9,111,5000,21,27,16500
gas,hatchback,94.5,171.2,65.5,52.4,2823,ohcv,six,152,2.68,3.47,9,154,5000,19,26,16500
gas,sedan,99.8,176.6,66.2,54.3,2337,ohc,four,109,3.19,3.4,10,102,5500,24,30,13950
gas,sedan,99.4,176.6,66.4,54.3,2824,ohc,five,136,3.19,3.4,8,115,5500,18,22,17450
gas,sedan,99.8,177.3,66.3,53.1,2507,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,15250
gas,sedan,105.8,192.7,71.4,55.7,2844,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,17710
gas,wagon,105.8,192.7,71.4,55.7,2954,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,18920
gas,sedan,105.8,192.7,71.4,55.9,3086,ohc,five,131,3.13,3.4,8.3,140,5500,17,20,23875
gas,sedan,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16430
gas,sedan,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16925
gas,sedan,101.2,176.8,64.8,54.3,2710,ohc,six,164,3.31,3.19,9,121,4250,21,28,20970
gas,sedan,101.2,176.8,64.8,54.3,2765,ohc,six,164,3.31,3.19,9,121,4250,21,28,21105
gas,sedan,103.5,189,66.9,55.7,3055,ohc,six,164,3.31,3.19,9,121,4250,20,25,24565
gas,sedan,103.5,189,66.9,55.7,3230,ohc,six,209,3.62,3.39,8,182,5400,16,22,30760
gas,sedan,103.5,193.8,67.9,53.7,3380,ohc,six,209,3.62,3.39,8,182,5400,16,22,41315
gas,sedan,110,197,70.9,56.3,3505,ohc,six,209,3.62,3.39,8,182,5400,15,20,36880
gas,hatchback,88.4,141.1,60.3,53.2,1488,l,three,61,2.91,3.03,9.5,48,5100,47,53,5151
gas,hatchback,94.5,155.9,63.6,52,1874,ohc,four,90,3.03,3.11,9.6,70,5400,38,43,6295
gas,sedan,94.5,158.8,63.6,52,1909,ohc,four,90,3.03,3.11,9.6,70,5400,38,43,6575
gas,hatchback,93.7,157.3,63.8,50.8,1876,ohc,four,90,2.97,3.23,9.41,68,5500,37,41,5572
gas,hatchback,93.7,157.3,63.8,50.8,1876,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6377
gas,hatchback,93.7,157.3,63.8,50.8,2128,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,7957
gas,hatchback,93.7,157.3,63.8,50.6,1967,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6229
gas,sedan,93.7,157.3,63.8,50.6,1989,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6692
gas,sedan,93.7,157.3,63.8,50.6,1989,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,7609
gas,sedan,93.7,157.3,63.8,50.6,2191,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,8558
gas,wagon,103.3,174.6,64.6,59.8,2535,ohc,four,122,3.34,3.46,8.5,88,5000,24,30,8921
gas,hatchback,95.9,173.2,66.3,50.2,2811,ohc,four,156,3.6,3.9,7,145,5000,19,24,12964
gas,hatchback,86.6,144.6,63.9,50.8,1713,ohc,four,92,2.91,3.41,9.6,58,4800,49,54,6479
gas,hatchback,86.6,144.6,63.9,50.8,1819,ohc,four,92,2.91,3.41,9.2,76,6000,31,38,6855
gas,hatchback,93.7,150,64,52.6,1837,ohc,four,79,2.91,3.07,10.1,60,5500,38,42,5399
gas,hatchback,93.7,150,64,52.6,1940,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,6529
gas,hatchback,93.7,150,64,52.6,1956,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,7129
gas,sedan,96.5,163.4,64,54.5,2010,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,7295
gas,wagon,96.5,157.1,63.9,58.3,2024,ohc,four,92,2.92,3.41,9.2,76,6000,30,34,7295
gas,hatchback,96.5,167.5,65.2,53.3,2236,ohc,four,110,3.15,3.58,9,86,5800,27,33,7895
gas,hatchback,96.5,167.5,65.2,53.3,2289,ohc,four,110,3.15,3.58,9,86,5800,27,33,9095
gas,sedan,96.5,175.4,65.2,54.1,2304,ohc,four,110,3.15,3.58,9,86,5800,27,33,8845
gas,sedan,96.5,175.4,62.5,54.1,2372,ohc,four,110,3.15,3.58,9,86,5800,27,33,10295
gas,sedan,96.5,175.4,65.2,54.1,2465,ohc,four,110,3.15,3.58,9,101,5800,24,28,12945
gas,sedan,96.5,169.1,66,51,2293,ohc,four,110,3.15,3.58,9.1,100,5500,25,31,10345
gas,sedan,94.3,170.7,61.8,53.5,2337,ohc,four,111,3.31,3.23,8.5,78,4800,24,29,6785
